brand,厂牌,SKU,name,0510价格,CPU,长,宽,厚,重,,,ppi,分辨率长,屏幕长,屏幕长_厘米,分辨率宽,屏幕宽,屏幕宽_厘米,上市时间
apple,苹果,100008348542,11,5499,A13,150.9,75.7,8.3,194,,,,,,,,,,
apple,苹果,100008348510,11 pro,8799,A13,144,71.4,8.1,188,,,,,,,,,,
apple,苹果,100008348548,11 Pro max,9299,A13,158,77.8,8.1,226,,,,,,,,,,
apple,苹果,100006945233,SE2,3799,A13,138.4,67.3,7.3,148,,,,,,,,,,
mi,小米,,10 青春版,,,164.02,74.77,7.88,192,,,,,,,,,,
mi,小米,100012820028,10,3999,骁龙865,162.6,74.8,8.96,208,,,,,,,,,,
mi,小米,,10 Pro,,,162.6,74.8,8.96,208,,,,,,,,,,
Sumsang,三星,,S20 5G,,,151.7,69.1,7.9,163,,,,,,,,,,
Sumsang,三星,,S20 5G+,,,161.9,73.7,7.8,186,,,,,,,,,,
HUAWEI,华为,100012015170,P40 Pro,6488,麒麟990,158.2,72.6,8.95,209,6.58,,441,2640,,,1200,,,20年4月8日
,荣耀,100012309040,30S,2399,麒麟820,,,,,,,,,,,,,,
HUAWEI,华为,,P30,3288,麒麟980,,,,,,,,,,,,,,
vivo,iQOO,100012820028,Neo3,2998,骁龙865,,,,,,,,,,,,,,
mi,小米,,Max 2,,骁龙625,174.1,88.7,7.6,211,6.44,6.44,342,1920,5.61,142.60,1080,3.16,80.21,17年5月25日
