brand,厂牌,SKU,name,0604价格,CPU,长,宽,厚,重,屏,分辨率长,分辨率宽,屏幕类型,ppi,上市时间
apple,苹果,100008348542,11,5499,A13,150.9,75.7,8.3,194,,,,,,
apple,苹果,100008348510,11 pro,8799,A13,144,71.4,8.1,188,,,,,,
apple,苹果,100008348548,11 Pro max,9299,A13,158,77.8,8.1,226,,,,,,
apple,苹果,100006945233,SE2,3799,A13,138.4,67.3,7.3,148,,,,,,
mi,小米,100012816020,10 青春版,2299,骁龙765G,164.02,74.77,7.88,192,,2400,1080,,,
mi,小米,100012820028,10,3999,骁龙865,162.6,74.8,8.96,208,,2340,1080,,,
mi,小米,,10 Pro,,骁龙865,162.6,74.8,8.96,208,,2340,1080,,,
mi,小米,,Max 2,,骁龙625,174.1,88.7,7.6,211,,1920,1080,,342,17年5月25日
Sumsang,三星,,S20 5G,,骁龙865,151.7,69.1,7.9,163,6.2,3200,1440,,,
Sumsang,三星,,S20 5G+,,骁龙865,161.9,73.7,7.8,186,6.7,3200,1440,,,
HUAWEI,华为,100012015170,P40 Pro,6488,麒麟990,158.2,72.6,8.95,209,,2640,1200,,441,20年4月8日
HUAWEI,华为,100004404916,P30,3288,麒麟980,149.1,71.36,7.57,165,6.1,2340,1080,OLED,422,
HUAWEI,华为,100000745034,畅享 MAX,1199,骁龙660,177.57,86.24,8.48,210,,2244,1080,,350,2018年10月
HUAWEI,荣耀,100006604003,30S,2399,麒麟820,162.31,75,8.58,190,6.5,2400,1080,LTPS LCD,405,20年4月1日
vivo,iQOO,100012820028,Neo3,2598,骁龙865,163.71,75.55,8.93,198.8,6.57,2408,1080,,,
